"","id","name","terminalName","lastCommWithServer","lat","long","installed","locked","installDate","removalDate","temporary","public","nbBikes","nbEmptyDocks","latestUpdateTime","station"
"113","114","North Capitol St & F St NW","31624","1425660856764","38.897446","-77.009888","true","false","0","","false","true","13","7","1425660856764","North Capitol St & F St NW (31624)"
"114","115","11th & M St NW","31266","1425659171481","38.905607","-77.027137","true","false","0","","false","true","5","13","1425659171481","11th & M St NW (31266)"
"115","116","36th & Calvert St NW / Glover Park","31304","1425636053778","38.922581","-77.070334","true","false","0","","false","true","7","8","1425636053778","36th & Calvert St NW / Glover Park (31304)"
"116","117","14th & G St NW","31238","1425662216505","38.898069","-77.031823","true","false","0","","false","true","6","16","1425662216505","14th & G St NW (31238)"
"117","118","Potomac Ave & 35th St S","31052","1425636238231","38.844015","-77.050537","true","false","0","","false","true","6","17","1425636238231","Potomac Ave & 35th St S (31052)"
"118","124","Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","31240","1425657395825","38.88412","-77.04657","true","false","0","","false","true","17","6","1425657395825","Ohio Dr & West Basin Dr SW / MLK & FDR Memorials (31240)"
"119","125","11th & F St NW","31262","1425661526157","38.897857","-77.026975","true","false","0","","false","true","10","4","1425661526157","11th & F St NW (31262)"
"120","126","23rd & E St NW ","31260","1425663537681","38.896104","-77.049882","true","false","0","","false","true","9","10","1425663537681","23rd & E St NW  (31260)"
"121","127","Lynn & 19th St North","31014","1425654491415","38.897315","-77.070993","true","false","0","","false","true","7","18","1425654491415","Lynn & 19th St North (31014)"
"122","128","Rosslyn Metro / Wilson Blvd & Ft Myer Dr","31015","1425636223508","38.8946","-77.072305","true","false","0","","false","true","2","13","1425636223508","Rosslyn Metro / Wilson Blvd & Ft Myer Dr (31015)"
"123","129","Clarendon Blvd & Pierce St","31016","1425636139362","38.893648","-77.076701","true","false","0","","false","true","1","10","1425636139362","Clarendon Blvd & Pierce St (31016)"
"124","130","Wilson Blvd & N Uhle St","31017","1425636106287","38.891696","-77.0846","true","false","0","","false","true","6","9","1425636106287","Wilson Blvd & N Uhle St (31017)"
"125","131","N Rhodes & 16th St N","31018","1425636141828","38.892164","-77.079375","true","false","0","","false","true","2","9","1425636141828","N Rhodes & 16th St N (31018)"
"126","132","Fairfax Village","31706","1425636231662","38.86559","-76.952103","true","false","0","","false","true","9","6","1425636231662","Fairfax Village (31706)"
"127","133","21st St & Constitution Ave NW","31261","1425658345218","38.892459","-77.046567","true","false","0","","false","true","7","7","1425658345218","21st St & Constitution Ave NW (31261)"
"128","134","Wilson Blvd & N Edgewood St","31019","1425636171642","38.889","-77.0925","true","false","0","","false","true","6","9","1425636171642","Wilson Blvd & N Edgewood St (31019)"
"129","135","Columbia Rd & Belmont St NW","31113","1425662003663","38.920669","-77.04368","true","false","0","","false","true","1","18","1425662003663","Columbia Rd & Belmont St NW (31113)"
"130","136","17th & Rhode Island Ave NW","31239","1425662999704","38.906602","-77.038785","true","false","0","","false","true","9","11","1425662999704","17th & Rhode Island Ave NW (31239)"
"131","137","Thomas Circle","31241","1425661479774","38.9059","-77.0325","true","false","0","","false","true","2","30","1425661479774","Thomas Circle (31241)"
"132","138","Wilson Blvd & Franklin Rd","31020","1425657101742","38.8904","-77.0889","true","false","0","","false","true","7","4","1425657101742","Wilson Blvd & Franklin Rd (31020)"
"133","139","Clarendon Blvd & N Fillmore St","31021","1425636117088","38.8881","-77.09308","true","false","0","","false","true","7","7","1425636117088","Clarendon Blvd & N Fillmore St (31021)"
"134","140","Clarendon Metro / Wilson Blvd & N Highland St","31022","1425652541894","38.88786","-77.094875","true","false","0","","false","true","6","11","1425652541894","Clarendon Metro / Wilson Blvd & N Highland St (31022)"
"135","141","18th St & Pennsylvania Ave NW","31242","1425663781530","38.89968","-77.041539","true","false","0","","false","true","12","12","1425663781530","18th St & Pennsylvania Ave NW (31242)"
"136","142","Maryland & Independence Ave SW","31243","1425660717553","38.887299","-77.018939","true","false","0","","false","true","4","35","1425660717553","Maryland & Independence Ave SW (31243)"
"137","143","4th & E St SW","31244","1425660411624","38.88412","-77.017445","true","false","0","","false","true","1","17","1425660411624","4th & E St SW (31244)"
"138","144","3rd & G St SE","31625","1425648262768","38.881185","-77.001828","true","false","0","","false","true","8","10","1425648262768","3rd & G St SE (31625)"
